country,year,fuel,primary_production,imports,exports,gross_inland_consumption,dependency
IE,2011,ren_mun_waste,"445,2661895828247","0,0","0,0","445,2661895828247","0,0"
IE,2011,renewables,"30894,98341333008","1917,1776033325195","24,78585631942749","32828,99165112305","0,05764392018318176"
IE,2011,solid_biomass,"7637,686337768555","540,0134540977479","24,78585631942749","8167,023047790528","0,06308633834123611"
IE,2011,total,"72119,51589990234","598243,2657890625","70321,74220898437","579865,58521875","0,9104205369949341"
IE,2012,bioenergy,"12654,56083557129","2348,4598163909914","21,687624279499055","14880,138653320313","0,15636764466762543"
IE,2012,biofuels,"1002,6130170822144","1658,265810836792","0,0","2506,3021955566405","0,6616384387016296"
IE,2012,biogas,"2341,007413330078","0,0","0,0","2341,007413330078","0,0"
IE,2012,ren_mun_waste,"1857,7249602813722","0,0","0,0","1857,7249602813722","0,0"
IE,2012,renewables,"31158,5417578125","2302,8236900024417","0,12560400109179318","33360,0462421875","0,06902562826871872"
IE,2012,solid_biomass,"7453,215684448242","644,5578791656494","0,12560400109179318","8151,029952209473","0,07906144857406616"
IE,2012,total,"54019,13927783204","572322,5580234375","77479,24853320314","585955,0895625","0,8445072174072266"
IE,2013,bioenergy,"12678,718497802734","3815,975029449463","26,041895121574402","16396,555500000002","0,23114202916622162"
IE,2013,biofuels,"913,7272070846558","2144,0183966674804","0,0","3024,7956199951172","0,7088143229484558"
IE,2013,biogas,"2061,6640802764896","0,0","0,0","2061,6640802764896","0,0"
IE,2013,ren_mun_waste,"2040,646390274048","0,0","0,0","2040,646390274048","0,0"
IE,2013,renewables,"32462,64665112305","3638,831723327637","0,20933999532088637","36029,172128906255","0,10099101066589355"
IE,2013,solid_biomass,"7662,681538879395","1494,8131669464112","0,20933999532088637","9118,138843322755","0,16391544044017792"
IE,2013,total,"97481,14378417969","573900,70359375","54406,83736669922","560983,1989921875","0,9260417222976685"
IE,2014,bioenergy,"14162,35314001465","4652,7907250061035","52,628074722290044","18755,859719970704","0,24526536464691162"
IE,2014,biofuels,"1011,572718612671","2684,701809997559","0,0","3689,9107344360355","0,7275790572166443"
IE,2014,biogas,"2186,849310836792","0,0","0,0","2186,849310836792","0,0"
IE,2014,ren_mun_waste,"2161,184270278931","0,0","0,0","2161,184270278931","0,0"
IE,2014,renewables,"36631,108957763674","4439,8082933349615","0,08373600397724659","41064,17733105469","0,10811673104763031"
IE,2014,solid_biomass,"8802,789164428712","1755,1064833374023","0,08373600397724659","10557,518723327637","0,16623440384864807"
IE,2014,total,"86059,674","547891,353421875","57304,10603320313","564092,633953125","0,8696926832199097"
IE,2015,bioenergy,"14146,275715576172","3796,8831677856447","74,10635920143127","17894,802033325195","0,20803678035736084"
IE,2015,biofuels,"1017,476137916565","2546,4117472229004","0,0","3613,668822784424","0,7046610713005066"
IE,2015,biogas,"2317,519430831909","0,0","0,0","2317,519430831909","0,0"
IE,2015,ren_mun_waste,"2384,9269363861085","0,0","0,0","2384,9269363861085","0,0"
IE,2015,renewables,"42332,064257812504","3690,580573883057","8,666676094830036","46039,728133300785","0,0799725353717804"
IE,2015,solid_biomass,"8426,353450012208","1144,1686669464111","8,666676094830036","9537,823762207032","0,11905252188444138"
IE,2015,total,"82141,37197119142","611818,4741484375","79602,20452001953","593160,1880273438","0,8972555994987488"
IE,2016,bioenergy,"15513,559533325197","5907,867651123047","135,48485055541994","20998,727508911135","0,27489203214645386"
IE,2016,biofuels,"1022,123488471985","3920,645029449463","0,0","4736,526725006103","0,8277468681335449"
IE,2016,biogas,"2327,73520111084","0,0","0,0","2327,73520111084","0,0"
IE,2016,ren_mun_waste,"2676,2444880523685","0,0","0,0","2676,2444880523685","0,0"
IE,2016,renewables,"41973,63339331055","5838,074022216797","8,62480800998211","47515,82556445313","0,12268437445163727"
IE,2016,solid_biomass,"9487,456435546876","1917,3869880523682","8,62480800998211","11315,246088867189","0,16868939995765686"
IE,2016,total,"177374,90638476564","510410,4574570313","75407,19651123048","624256,4184257813","0,6968342661857605"
IE,2017,bioenergy,"17618,053888916016","7153,776049987793","162,02915520858767","24924,104217773438","0,2805215120315552"
IE,2017,biofuels,"1066,8803906936646","5902,466771118165","0,0","7206,990114440919","0,8189919590950012"
IE,2017,biogas,"2321,7900166625977","0,0","0,0","2321,7900166625977","0,0"
IE,2017,ren_mun_waste,"3935,2150755615235","0,0","0,0","3935,2150755615235","0,0"
IE,2017,renewables,"49102,95599121094","7058,358586669922","8,62480800998211","56466,99646435547","0,12484697997570038"
IE,2017,solid_biomass,"10294,168645568849","1155,933580696106","8,62480800998211","11518,096599975586","0,09960923343896866"
IE,2017,total,"204238,50277148437","502545,20203125005","86351,57450683594","614341,3891289063","0,6774631142616272"
IE,2018,bioenergy,"19445,970035522463","6448,551064453125","556,5931782646179","25377,200613281253","0,23217524588108063"
IE,2018,biofuels,"1134,6228159713746","5320,0830572204595","378,3611035423279","6111,932625549317","0,80853670835495"
IE,2018,biogas,"2108,2631208343505","0,0","0,0","2108,2631208343505","0,0"
IE,2018,ren_mun_waste,"5862,650134460449","0,0","0,0","5862,650134460449","0,0"
IE,2018,renewables,"55526,51504882813","6290,290075561524","395,65259201431275","61460,46587109375","0,09590941667556763"
IE,2018,solid_biomass,"10340,433245544435","970,2071780548097","17,291483480930328","11297,074497802734","0,08435066044330597"
IE,2018,total,"210799,77851953125","501660,576984375","78533,06282226562","620663,2526953125","0,6817343831062317"
IS,2002,bioenergy,"35,00164905810356","0,0","0,0","35,00164905810356","0,0"
IS,2002,biofuels,"0,0","0,0","0,0","0,0",
IS,2002,biogas,"0,0","0,0","0,0","0,0",
IS,2002,ren_mun_waste,"35,00164905810356","0,0","0,0","35,00164905810356","0,0"
IS,2002,renewables,"100014,19867089845","0,0","0,0","100014,19867089845","0,0"
IS,2002,solid_biomass,"0,0","0,0","0,0","0,0",
IS,2002,total,"100049,19770214845","40901,644957763674","0,0","139122,96867773437","0,2939963638782501"
IS,2003,bioenergy,"35,00164905810356","0,0","0,0","35,00164905810356","0,0"
IS,2003,biofuels,"0,0","0,0","0,0","0,0",
IS,2003,biogas,"0,0","0,0","0,0","0,0",
IS,2003,ren_mun_waste,"35,00164905810356","0,0","0,0","35,00164905810356","0,0"
IS,2003,renewables,"100301,78562890626","0,0","0,0","100301,78562890626","0,0"
IS,2003,solid_biomass,"0,0","0,0","0,0","0,0",
IS,2003,total,"100336,78466015625","39571,957755615236","0,0","139228,13954003906","0,28422385454177856"
IS,2004,bioenergy,"63,011339800357824","0,0","0,0","63,011339800357824","0,0"
IS,2004,biofuels,"0,0","0,0","0,0","0,0",
IS,2004,biogas,"28,009693237781526","0,0","0,0","28,009693237781526","0,0"
IS,2004,ren_mun_waste,"35,00164905810356","0,0","0,0","35,00164905810356","0,0"
IS,2004,renewables,"97669,25335546875","0,0","0,0","97669,25335546875","0,0"
IS,2004,solid_biomass,"0,0","0,0","0,0","0,0",
IS,2004,total,"97704,25238671876","45265,63010888672","0,0","138645,67756640626","0,3264842629432678"
IS,2005,bioenergy,"76,9952514410019","0,0","0,0","76,9952514410019","0,0"
IS,2005,biofuels,"0,0","0,0","0,0","0,0",
IS,2005,biogas,"41,9936048784256","0,0","0,0","41,9936048784256","0,0"
IS,2005,ren_mun_waste,"35,00164905810356","0,0","0,0","35,00164905810356","0,0"
IS,2005,renewables,"99797,44795312501","0,0","0,0","99797,44795312501","0,0"
IS,2005,solid_biomass,"0,0","0,0","0,0","0,0",
IS,2005,total,"99832,44698437501","44958,361306640625","0,0","141239,26524023438","0,31831347942352295"
IS,2006,bioenergy,"61,001676718711856","0,0","0,0","61,001676718711856","0,0"
IS,2006,biofuels,"0,0","0,0","0,0","0,0",
IS,2006,biogas,"12,016116019964219","0,0","0,0","12,016116019964219","0,0"
IS,2006,ren_mun_waste,"48,98555820322037","0,0","0,0","48,98555820322037","0,0"
IS,2006,renewables,"130012,78421777344","0,0","0,0","130012,78421777344","0,0"
IS,2006,solid_biomass,"0,0","0,0","0,0","0,0",
IS,2006,total,"130047,78324902344","46042,533984375004","0,0","175729,11373828124","0,26200857758522034"
